artifact_name,property_type,stat_name,unit,is_harmful,value_at_85,value_at_100
Батарейка,Основное,Выносливость,%,FALSE,9.69,11.4
Батарейка,Основное,Скорость передвижения,%,FALSE,0.72,0.85
Батарейка,Основное,Скорость бега,%,FALSE,0.98,1.15
Батарейка,Основное,Радиация,,TRUE,1.06,1.25
Батарейка,Основное,Реакция на электричество,%,FALSE,1.1,1.3
Батарейка,Дополнительное,Электрозащита,%,FALSE,8.81,10.7
Батарейка,Дополнительное,Скорость передвижения,%,FALSE,0.24,0.3
Батарейка,Дополнительное,Выносливость,%,FALSE,3.12,3.8
Белая роза,Основное,Выносливость,%,FALSE,6.46,7.6
Белая роза,Основное,Переносимый вес,,FALSE,6.21,7.3
Белая роза,Основное,Пси-излучение,,FALSE,-1.84,-2.16
Белая роза,Основное,Реакция на электричество,%,FALSE,0.76,0.9
Белая роза,Дополнительное,Пси-излучение,,FALSE,-0.748,-0.88
Белая роза,Дополнительное,Выносливость,%,FALSE,2.14,2.6
Белая роза,Дополнительное,Переносимый вес,,FALSE,2.125,2.5
Болотный гнилец,Основное,Живучесть,%,FALSE,0.26,0.3
Болотный гнилец,Основное,Восстановление выносливости,%,FALSE,2.04,2.4
Болотный гнилец,Основное,Эффективность лечения,%,FALSE,3.06,3.6
Болотный гнилец,Основное,Биологическое заражение,,FALSE,-1.84,-2.16
Болотный гнилец,Основное,Реакция на хим. ожог,%,FALSE,0.76,0.9
Болотный гнилец,Дополнительное,Биологическое заражение,,FALSE,-0.748,-0.88
Болотный гнилец,Дополнительное,Восстановление выносливости,%,FALSE,0.65,0.8
Болотный гнилец,Дополнительное,Эффективность лечения,%,FALSE,1.02,1.2
Браслет,Основное,Живучесть,%,FALSE,0.42,0.5
Браслет,Основное,Скорость передвижения,%,FALSE,1.02,1.2
Браслет,Основное,Скорость бега,%,FALSE,1.36,1.6
Браслет,Основное,Восстановление выносливости,%,FALSE,3.06,3.6
Браслет,Основное,Пси-излучение,,TRUE,2.12,2.5
Браслет,Дополнительное,Выносливость,%,FALSE,13.77,16.2
Браслет,Дополнительное,Скорость передвижения,%,FALSE,0.32,0.4
