artifact_name,property_type,stat_name,unit,is_harmful,value_at_85,value_at_100,protection_affected,efficiency_affected
Атом,Основное,Живучесть,,FALSE,0.85,1.0,FALSE,TRUE
Атом,Основное,Восстановление выносливости,,FALSE,2.89,3.4,FALSE,TRUE
Атом,Основное,Радиация,,FALSE,-1.088,-1.28,FALSE,FALSE
Атом,Основное,Температура,,FALSE,-1.088,-1.28,FALSE,FALSE
Атом,Основное,Биологическое заражение,,FALSE,-1.088,-1.28,FALSE,FALSE
Атом,Основное,Пси-излучение,,FALSE,-1.088,-1.28,FALSE,FALSE
Атом,Дополнительное,Кровотечение,,FALSE,-0.575,-0.698,FALSE,FALSE
Атом,Дополнительное,Восстановление выносливости,%,FALSE,0.989,1.201,FALSE,TRUE
Атом,Дополнительное,Живучесть,%,FALSE,0.331,0.402,FALSE,TRUE
Батарейка,Основное,Выносливость,%,FALSE,9.69,11.4,FALSE,TRUE
Батарейка,Основное,Скорость передвижения,%,FALSE,0.7225,0.85,FALSE,TRUE
Батарейка,Основное,Скорость бега,%,FALSE,0.9775,1.15,FALSE,TRUE
Батарейка,Основное,Радиация,,TRUE,1.0625,1.25,TRUE,FALSE
Батарейка,Основное,Реакция на электричество,%,FALSE,1.105,1.3,FALSE,TRUE
Батарейка,Дополнительное,Электрозащита,%,FALSE,8.81,10.7,FALSE,TRUE
Батарейка,Дополнительное,Скорость передвижения,%,FALSE,0.24,0.3,FALSE,TRUE
Батарейка,Дополнительное,Выносливость,%,FALSE,3.12,3.8,FALSE,TRUE
Белая роза,Основное,Выносливость,%,FALSE,6.46,7.6,FALSE,TRUE
Белая роза,Основное,Переносимый вес,с,FALSE,6.205,7.3,FALSE,TRUE
Белая роза,Основное,Пси-излучение,,FALSE,-1.836,-2.16,FALSE,FALSE
Белая роза,Основное,Реакция на электричество,%,FALSE,0.765,0.9,FALSE,TRUE
Белая роза,Дополнительное,Пси-излучение,,FALSE,-0.748,-0.88,FALSE,FALSE
Белая роза,Дополнительное,Выносливость,%,FALSE,2.14,2.6,FALSE,TRUE
Белая роза,Дополнительное,Переносимый вес,,FALSE,2.125,2.5,FALSE,TRUE
Болотный гнилец,Основное,Живучесть,,FALSE,0.255,0.3,FALSE,TRUE
Болотный гнилец,Основное,Восстановление выносливости,,FALSE,2.04,2.4,FALSE,TRUE
Болотный гнилец,Основное,Эффективность лечения,,FALSE,3.06,3.6,FALSE,TRUE
Болотный гнилец,Основное,Биологическое заражение,,FALSE,-1.836,-2.16,FALSE,FALSE
Болотный гнилец,Основное,Реакция на хим. ожог,,FALSE,0.765,0.9,FALSE,TRUE
Болотный гнилец,Дополнительное,Биологическое заражение,,FALSE,-0.748,-0.88,FALSE,FALSE
Болотный гнилец,Дополнительное,Восстановление выносливости,%,FALSE,0.65,0.8,FALSE,TRUE
Болотный гнилец,Дополнительное,Эффективность лечения,%,FALSE,1.02,1.2,FALSE,TRUE
Браслет,Основное,Живучесть,,FALSE,0.425,0.5,FALSE,TRUE
Браслет,Основное,Скорость передвижения,%,FALSE,1.02,1.2,FALSE,TRUE
Браслет,Основное,Скорость бега,%,FALSE,1.36,1.6,FALSE,TRUE
Браслет,Основное,Восстановление выносливости,,FALSE,3.06,3.6,FALSE,TRUE
Браслет,Основное,Пси-излучение,,TRUE,2.125,2.5,TRUE,FALSE
Браслет,Дополнительное,Выносливость,%,FALSE,13.77,16.2,FALSE,TRUE
Браслет,Дополнительное,Скорость передвижения,%,FALSE,0.32,0.4,FALSE,TRUE
Браслет,Дополнительное,Восстановление выносливости,%,FALSE,1.02,1.2,FALSE,TRUE
Бубльгум,Основное,Скорость передвижения,%,TRUE,-1.275,-1.5,FALSE,TRUE
Бубльгум,Основное,Скорость бега,%,TRUE,-1.275,-1.5,FALSE,TRUE
Бубльгум,Основное,Пулестойкость,,FALSE,16.405,19.3,FALSE,TRUE
Бубльгум,Основное,Защита от взрыва,,FALSE,12.665,14.9,FALSE,TRUE
Бубльгум,Основное,Температура,,TRUE,2.125,2.5,TRUE,FALSE
Бубльгум,Основное,Реакция на разрыв,,FALSE,1.615,1.9,FALSE,TRUE
Бубльгум,Дополнительное,Пулестойкость,,FALSE,5.525,6.5,FALSE,TRUE
Бубльгум,Дополнительное,Защита от разрыва,,FALSE,17.17,20.2,FALSE,TRUE
Бубльгум,Дополнительное,Защита от взрыва,,FALSE,4.25,5.0,FALSE,TRUE
Ветка Калины,Основное,Живучесть,,FALSE,1.275,1.5,FALSE,TRUE
Ветка Калины,Основное,Эффективность лечения,,FALSE,9.265,10.9,FALSE,TRUE
Ветка Калины,Основное,Радиация,,TRUE,2.125,2.5,TRUE,FALSE
Ветка Калины,Основное,Кровотечение,,FALSE,-0.34,-0.4,FALSE,FALSE
Ветка Калины,Дополнительное,Выносливость,%,FALSE,13.77,16.2,FALSE,TRUE
Ветка Калины,Дополнительное,Эффективность лечения,%,FALSE,3.05,3.7,FALSE,TRUE
Ветка Калины,Дополнительное,Живучесть,%,FALSE,0.425,0.5,FALSE,TRUE
Вехотка,Основное,Переносимый вес,с,FALSE,2.38,2.8,FALSE,TRUE
Вехотка,Основное,Защита от разрыва,,FALSE,7.735,9.1,FALSE,TRUE
Вехотка,Основное,Защита от взрыва,,FALSE,8.16,9.6,FALSE,TRUE
Вехотка,Основное,Радиация,,TRUE,1.0625,1.25,TRUE,FALSE
Вехотка,Основное,Реакция на разрыв,,FALSE,0.765,0.9,FALSE,TRUE
Вехотка,Дополнительное,Защита от разрыва,,FALSE,2.635,3.1,FALSE,TRUE
Вехотка,Дополнительное,Защита от взрыва,,FALSE,2.63,3.2,FALSE,TRUE
Вехотка,Дополнительное,Регенерация здоровья,%,FALSE,0.9,1.1,FALSE,TRUE
Висмут,Основное,Регенерация здоровья,,FALSE,1.785,2.1,FALSE,TRUE
Висмут,Основное,Биологическое заражение,,TRUE,2.125,2.5,TRUE,FALSE
Висмут,Основное,Отдача,,FALSE,-3.74,-4.4,FALSE,FALSE
Висмут,Дополнительное,Регенерация здоровья,%,FALSE,0.595,0.7,FALSE,TRUE
Висмут,Дополнительное,Отдача,%,FALSE,-1.275,-1.5,FALSE,FALSE
